epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4372,0.94416,1.56755,1.01209,1.1505,0.78903,0.69346,0.71454,0.53055,0.77037,0.67703,0.68381,0.40609,1.13953,1.42657,1.23049,1.308,0.000552359,0.000552359,0.000552359
2,179.967,1.01304,1.58745,1.05347,1.17334,0.77198,0.66267,0.69854,0.5057,0.76685,0.66908,0.67192,0.39378,1.27873,1.49689,1.38067,1.41244,0.00108609,0.00108609,0.00108609
3,268.608,1.07353,1.66995,1.14714,1.20992,0.71945,0.64656,0.66031,0.42209,0.68437,0.61311,0.5974,0.31558,1.37988,1.53218,1.45561,1.54369,0.00159781,0.00159781,0.00159781
4,356.456,1.10238,1.68029,1.18067,1.23005,0.75457,0.692,0.69911,0.50261,0.73122,0.66515,0.64767,0.39098,1.29128,1.48626,1.34449,1.40915,0.00156798,0.00156798,0.00156798
5,443.312,1.08234,1.67533,1.1439,1.22211,0.73382,0.64316,0.69472,0.47035,0.71644,0.63189,0.65756,0.38161,1.31681,1.44607,1.40977,1.45365,0.00153497,0.00153497,0.00153497
6,530.591,1.08338,1.68159,1.14044,1.21734,0.63438,0.64379,0.62777,0.40534,0.61755,0.63511,0.58154,0.33007,1.37874,1.46685,1.45234,1.4782,0.00150197,0.00150197,0.00150197
7,616.683,1.05761,1.67263,1.13222,1.21109,0.68946,0.67376,0.68678,0.43581,0.65505,0.6509,0.64507,0.3471,1.35121,1.50904,1.44264,1.4866,0.00146896,0.00146896,0.00146896
8,703.108,1.05765,1.61887,1.11504,1.20739,0.71401,0.66822,0.67309,0.46494,0.69699,0.65303,0.64209,0.38199,1.3151,1.47464,1.46695,1.44727,0.00143595,0.00143595,0.00143595
9,789.579,1.05898,1.63904,1.11884,1.20299,0.75226,0.67042,0.68919,0.48177,0.7114,0.67134,0.66133,0.39167,1.27902,1.42305,1.37346,1.42477,0.00140295,0.00140295,0.00140295
10,877.729,1.04444,1.62056,1.10176,1.20251,0.80599,0.65282,0.71413,0.50157,0.78391,0.63856,0.67227,0.39222,1.3119,1.43631,1.3879,1.45378,0.00136994,0.00136994,0.00136994
11,964.287,1.04255,1.62282,1.12589,1.20218,0.72423,0.68218,0.68107,0.44858,0.71568,0.67039,0.65438,0.37011,1.31916,1.41587,1.4187,1.43184,0.00133693,0.00133693,0.00133693
12,1053.57,1.02617,1.60175,1.0931,1.18884,0.70559,0.67475,0.68495,0.41575,0.68194,0.64019,0.63071,0.33125,1.39334,1.44143,1.45926,1.49398,0.00130393,0.00130393,0.00130393
13,1142.71,1.04041,1.64365,1.10738,1.20049,0.78041,0.65889,0.71883,0.51406,0.7683,0.64472,0.68775,0.4067,1.20517,1.39986,1.3131,1.35799,0.00127092,0.00127092,0.00127092
14,1230.51,1.02897,1.61358,1.0853,1.19114,0.79984,0.64267,0.70775,0.50941,0.77627,0.62023,0.67349,0.40086,1.27756,1.46684,1.3558,1.40457,0.00123791,0.00123791,0.00123791
15,1318.9,1.01987,1.59595,1.06721,1.18667,0.79718,0.65372,0.70699,0.50457,0.76799,0.63264,0.66139,0.37387,1.18778,1.43849,1.30935,1.35283,0.00120491,0.00120491,0.00120491
16,1406.16,1.02148,1.60181,1.06837,1.19311,0.77651,0.69179,0.72052,0.51598,0.79509,0.66267,0.68136,0.40036,1.22623,1.44999,1.28735,1.35771,0.0011719,0.0011719,0.0011719
17,1494.95,1.00266,1.61937,1.06219,1.17788,0.79127,0.68189,0.72281,0.53374,0.7589,0.65525,0.67024,0.4135,1.20617,1.41546,1.29834,1.35713,0.00113889,0.00113889,0.00113889
18,1583.28,0.98871,1.601,1.03855,1.17485,0.78103,0.67124,0.71217,0.51626,0.73247,0.67879,0.66518,0.38159,1.19375,1.46153,1.31849,1.32377,0.00110589,0.00110589,0.00110589
19,1670.98,1.00268,1.57888,1.04682,1.18145,0.74036,0.67043,0.67914,0.47628,0.72472,0.66386,0.64984,0.38274,1.21497,1.49396,1.35672,1.37494,0.00107288,0.00107288,0.00107288
20,1762.87,0.9978,1.5951,1.05379,1.17085,0.77258,0.70944,0.7276,0.52116,0.75978,0.69922,0.68656,0.41864,1.1581,1.3787,1.24009,1.3251,0.00103987,0.00103987,0.00103987
21,1847.98,0.97849,1.54739,1.02283,1.1625,0.77098,0.69658,0.72332,0.53357,0.82679,0.64409,0.68846,0.40467,1.21906,1.40389,1.27693,1.3946,0.00100687,0.00100687,0.00100687
22,1935.99,0.94925,1.56297,0.99379,1.15094,0.80657,0.6991,0.73497,0.55167,0.7741,0.6703,0.68812,0.43535,1.15946,1.42119,1.26286,1.31777,0.000973861,0.000973861,0.000973861
23,2024.55,0.97026,1.54723,1.00116,1.16448,0.79728,0.67506,0.70724,0.52571,0.76459,0.6574,0.66962,0.40927,1.18843,1.44806,1.31744,1.32747,0.000940855,0.000940855,0.000940855
24,2111.36,0.95616,1.54414,1.00404,1.15032,0.80301,0.69551,0.72256,0.53444,0.78632,0.67847,0.68343,0.421,1.1724,1.40079,1.26457,1.31119,0.000907848,0.000907848,0.000907848
25,2201.58,0.94659,1.55206,0.99541,1.15353,0.78666,0.70166,0.73952,0.55982,0.77199,0.67602,0.69409,0.42326,1.14483,1.41523,1.23391,1.3133,0.000874842,0.000874842,0.000874842
26,2288.99,0.95774,1.56511,1.02081,1.15074,0.75319,0.70556,0.7268,0.54153,0.71961,0.68436,0.68568,0.40922,1.15581,1.45143,1.26499,1.29733,0.000841835,0.000841835,0.000841835
