epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2375.61,0.95,1.55871,0.97551,1.14945,0.8243,0.703,0.73274,0.55091,0.80297,0.6886,0.6998,0.42876,1.14465,1.37875,1.23424,1.30252,0.000808828,0.000808828,0.000808828
28,2463.47,0.9344,1.54999,0.97256,1.1428,0.82001,0.68609,0.73524,0.55854,0.7934,0.67105,0.69002,0.42246,1.10464,1.39568,1.18971,1.29147,0.000775822,0.000775822,0.000775822
29,2550.12,0.94731,1.55921,0.97967,1.14475,0.76282,0.72431,0.72587,0.53726,0.73659,0.70263,0.67906,0.41441,1.11971,1.40546,1.21884,1.27338,0.000742815,0.000742815,0.000742815
30,2639.66,0.94402,1.56487,0.97704,1.15205,0.78101,0.69458,0.70473,0.53664,0.76385,0.68311,0.66514,0.41427,1.15359,1.40259,1.24052,1.30442,0.000709809,0.000709809,0.000709809
31,2727.86,0.92286,1.5435,0.97463,1.13537,0.74514,0.7352,0.72932,0.54506,0.72336,0.71295,0.68027,0.42377,1.11457,1.4154,1.20749,1.28113,0.000676802,0.000676802,0.000676802
32,2814.64,0.92005,1.48439,0.94817,1.13664,0.83313,0.69519,0.74215,0.55755,0.80016,0.67258,0.68282,0.41651,1.12544,1.40759,1.17259,1.28537,0.000643795,0.000643795,0.000643795
33,2903.1,0.90154,1.51697,0.9354,1.12061,0.81791,0.69306,0.73948,0.5497,0.80257,0.67367,0.69591,0.41743,1.13201,1.45789,1.20253,1.28665,0.000610789,0.000610789,0.000610789
34,2989.83,0.91195,1.51641,0.9411,1.13688,0.81937,0.69419,0.73919,0.56368,0.79119,0.67383,0.69921,0.43612,1.09616,1.39574,1.13795,1.26426,0.000577782,0.000577782,0.000577782
35,3078.91,0.91285,1.5272,0.94181,1.12904,0.81907,0.69365,0.72841,0.56486,0.80459,0.6849,0.69486,0.43627,1.07239,1.41151,1.1579,1.24193,0.000544776,0.000544776,0.000544776
36,3166.52,0.90546,1.51594,0.91777,1.1332,0.79185,0.69581,0.72907,0.55878,0.76921,0.6797,0.68525,0.42585,1.07801,1.38686,1.14528,1.2577,0.000511769,0.000511769,0.000511769
37,3252.51,0.89506,1.50285,0.9146,1.11894,0.80377,0.6853,0.72903,0.55803,0.81199,0.67421,0.69935,0.43996,1.0866,1.40475,1.15257,1.25771,0.000478762,0.000478762,0.000478762
38,3339.68,0.89758,1.52777,0.92692,1.12816,0.81379,0.71223,0.73294,0.56995,0.80326,0.70138,0.703,0.43513,1.06398,1.41784,1.14875,1.24714,0.000445756,0.000445756,0.000445756
39,3426.89,0.87513,1.48491,0.8838,1.10639,0.85275,0.69178,0.71967,0.55817,0.79411,0.70803,0.69497,0.43027,1.05917,1.41033,1.14883,1.24298,0.000412749,0.000412749,0.000412749
40,3515.71,0.8799,1.49375,0.89668,1.11872,0.77029,0.72793,0.7358,0.56755,0.78687,0.69952,0.69716,0.43103,1.04224,1.3968,1.12738,1.20441,0.000379743,0.000379743,0.000379743
41,3597.43,0.87565,1.25304,0.98617,1.23354,0.79065,0.71586,0.72537,0.58334,0.771,0.70281,0.69304,0.43249,1.04077,1.40345,1.1363,1.21193,0.000346736,0.000346736,0.000346736
42,3675.77,0.87548,1.23277,0.9702,1.23591,0.78626,0.74395,0.73783,0.59518,0.76287,0.72384,0.70173,0.44903,1.02028,1.42499,1.09796,1.18934,0.000313729,0.000313729,0.000313729
43,3756.7,0.853,1.22986,0.95141,1.2168,0.82964,0.71935,0.74205,0.59216,0.80495,0.70198,0.70346,0.4451,1.02179,1.40207,1.10178,1.19109,0.000280723,0.000280723,0.000280723
44,3833.97,0.83681,1.20874,0.91659,1.19839,0.81225,0.74367,0.73896,0.58868,0.79466,0.72617,0.70327,0.43829,1.02149,1.43008,1.10606,1.19471,0.000247716,0.000247716,0.000247716
45,3912.82,0.82618,1.22423,0.91953,1.19748,0.78936,0.73268,0.74514,0.60971,0.76452,0.71602,0.7068,0.44818,0.97553,1.44391,1.07649,1.1503,0.00021471,0.00021471,0.00021471
46,3991.83,0.83095,1.20468,0.906,1.20478,0.80087,0.73927,0.75886,0.61821,0.7703,0.71718,0.7218,0.45883,0.99441,1.42933,1.09237,1.16564,0.000181703,0.000181703,0.000181703
47,4070.06,0.80372,1.1909,0.88205,1.18491,0.81679,0.71161,0.75998,0.61548,0.80554,0.70138,0.72704,0.46398,0.99445,1.42622,1.08792,1.17777,0.000148696,0.000148696,0.000148696
48,4146.43,0.80128,1.20032,0.88582,1.18206,0.80775,0.73462,0.76309,0.62725,0.80095,0.70324,0.72474,0.46513,0.96754,1.41443,1.06847,1.16165,0.00011569,0.00011569,0.00011569
49,4223.98,0.79654,1.19267,0.87147,1.18241,0.81373,0.73732,0.76368,0.62518,0.79254,0.71439,0.72636,0.46441,0.97387,1.41798,1.06179,1.15843,8.26832e-05,8.26832e-05,8.26832e-05
50,4301.45,0.79219,1.18172,0.86497,1.17872,0.81761,0.7336,0.76831,0.63134,0.79504,0.7113,0.72714,0.46385,0.95978,1.41388,1.05623,1.15271,4.96766e-05,4.96766e-05,4.96766e-05
