epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2475.13,1.03033,1.65201,1.11528,1.1997,0.7675,0.67545,0.7182,0.52624,0.76481,0.6662,0.68554,0.40484,1.20684,1.41186,1.3103,1.34615,0.000709809,0.000709809,0.000709809
31,2561.55,1.01049,1.63349,1.11196,1.18289,0.77596,0.67915,0.70429,0.50806,0.77183,0.66669,0.67382,0.40738,1.18367,1.40166,1.31508,1.32946,0.000676802,0.000676802,0.000676802
32,2646.46,1.00514,1.56894,1.08538,1.18081,0.74663,0.70771,0.72786,0.53522,0.78303,0.65183,0.68305,0.41132,1.22005,1.41837,1.27275,1.35956,0.000643795,0.000643795,0.000643795
33,2731.08,0.97838,1.60202,1.06484,1.16392,0.79708,0.68591,0.72096,0.53523,0.74584,0.67413,0.68207,0.40924,1.17957,1.42297,1.26203,1.32368,0.000610789,0.000610789,0.000610789
34,2814.13,0.99035,1.60045,1.05943,1.18481,0.78984,0.69582,0.73685,0.53194,0.7706,0.68497,0.69799,0.42489,1.19709,1.41328,1.24608,1.3611,0.000577782,0.000577782,0.000577782
35,2901.34,0.99569,1.61443,1.07365,1.17584,0.77042,0.69397,0.71842,0.53957,0.76011,0.68746,0.69022,0.42813,1.13912,1.38648,1.26118,1.3069,0.000544776,0.000544776,0.000544776
36,2987.63,0.98076,1.59428,1.04185,1.17397,0.78783,0.70449,0.73141,0.55406,0.77826,0.69543,0.70066,0.44024,1.10602,1.37551,1.20216,1.30075,0.000511769,0.000511769,0.000511769
37,3073.16,0.97811,1.58695,1.03342,1.16672,0.78717,0.67723,0.71706,0.5531,0.79154,0.6611,0.69014,0.42925,1.13932,1.38397,1.22944,1.29207,0.000478762,0.000478762,0.000478762
38,3158.1,0.97005,1.59992,1.03765,1.16915,0.81834,0.68032,0.73114,0.55765,0.80769,0.67784,0.70501,0.42969,1.11014,1.39939,1.23716,1.28683,0.000445756,0.000445756,0.000445756
39,3244.26,0.93705,1.56147,1.00043,1.14696,0.78074,0.70022,0.73685,0.56935,0.81218,0.65492,0.71009,0.44683,1.12991,1.38063,1.24965,1.30566,0.000412749,0.000412749,0.000412749
40,3330.47,0.95032,1.57498,1.02346,1.15564,0.82044,0.69457,0.72114,0.55616,0.80724,0.68697,0.69126,0.43148,1.10824,1.37011,1.21693,1.27325,0.000379743,0.000379743,0.000379743
41,3411.73,0.97928,1.33249,1.14278,1.30549,0.78618,0.70928,0.74417,0.57057,0.77429,0.70362,0.71999,0.45005,1.07649,1.37532,1.19969,1.24721,0.000346736,0.000346736,0.000346736
42,3491.17,0.95905,1.30462,1.11828,1.29488,0.77583,0.71966,0.74967,0.57419,0.75178,0.70665,0.71651,0.45889,1.07402,1.37279,1.17347,1.23449,0.000313729,0.000313729,0.000313729
43,3569.44,0.94798,1.30295,1.09306,1.277,0.82459,0.69116,0.75284,0.58781,0.81549,0.68682,0.72605,0.45663,1.06573,1.37634,1.17176,1.23126,0.000280723,0.000280723,0.000280723
44,3648.62,0.9304,1.28331,1.05524,1.26438,0.77221,0.71194,0.74776,0.59375,0.77716,0.70727,0.72235,0.45833,1.05143,1.39605,1.16834,1.23239,0.000247716,0.000247716,0.000247716
45,3728.62,0.90782,1.29865,1.0576,1.25629,0.79205,0.70946,0.7577,0.60438,0.77392,0.70169,0.72251,0.46063,1.04404,1.40044,1.14476,1.22305,0.00021471,0.00021471,0.00021471
46,3806.64,0.90443,1.26804,1.03546,1.25704,0.79038,0.7017,0.74759,0.59529,0.75994,0.70114,0.71697,0.45326,1.02803,1.39517,1.13802,1.20432,0.000181703,0.000181703,0.000181703
47,3885.77,0.87964,1.25847,1.00195,1.23575,0.79784,0.7209,0.75341,0.60564,0.79535,0.70806,0.72371,0.46258,1.0238,1.38211,1.12144,1.20037,0.000148696,0.000148696,0.000148696
48,3963.89,0.86775,1.26262,1.00562,1.22732,0.80043,0.71719,0.76249,0.62639,0.79082,0.70904,0.73362,0.46995,0.98908,1.3818,1.08315,1.17933,0.00011569,0.00011569,0.00011569
49,4042.9,0.861,1.2663,0.9779,1.23112,0.82128,0.71935,0.7651,0.62689,0.81057,0.71568,0.73651,0.47495,0.98572,1.39786,1.08716,1.17291,8.26832e-05,8.26832e-05,8.26832e-05
50,4122.39,0.86697,1.24122,0.97606,1.23252,0.8055,0.71887,0.76007,0.62397,0.7954,0.71613,0.7301,0.47096,0.98406,1.38812,1.0802,1.17249,4.96766e-05,4.96766e-05,4.96766e-05
