epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.186,0.87681,1.46286,0.89058,1.11473,0.82667,0.70791,0.73378,0.57192,0.80697,0.68672,0.69971,0.43165,1.0766,1.41488,1.15336,1.25369,0.000552359,0.000552359,0.000552359
2,1050.41,0.9349,1.52287,0.9256,1.13523,0.78604,0.67403,0.70795,0.53079,0.73659,0.6523,0.65172,0.3908,1.12434,1.49087,1.25026,1.27151,0.00109706,0.00109706,0.00109706
3,1535.51,0.96071,1.50251,0.97185,1.15491,0.70485,0.70373,0.70437,0.50785,0.69272,0.69767,0.67772,0.38458,1.1998,1.45151,1.31718,1.35799,0.00163075,0.00163075,0.00163075
4,2090.14,1.00949,1.56402,1.04725,1.17727,0.79578,0.69329,0.74253,0.53404,0.76486,0.67234,0.69863,0.42831,1.24688,1.48189,1.31272,1.39228,0.00161749,0.00161749,0.00161749
5,2600.18,1.00624,1.57756,1.03311,1.17171,0.74698,0.68032,0.69846,0.4649,0.70952,0.65832,0.65373,0.35087,1.25253,1.45574,1.39089,1.37264,0.00160099,0.00160099,0.00160099
6,3233.33,0.98469,1.5371,1.01778,1.16762,0.75411,0.69674,0.70609,0.50733,0.73492,0.6732,0.66694,0.40932,1.25068,1.49553,1.35914,1.38245,0.00158448,0.00158448,0.00158448
7,3769.97,0.99044,1.5585,1.01332,1.16954,0.79365,0.69996,0.73377,0.5536,0.77277,0.68425,0.69721,0.44356,1.15749,1.42476,1.24223,1.31401,0.00156798,0.00156798,0.00156798
8,4275.25,1.01118,1.5765,1.02198,1.17763,0.78907,0.66351,0.7147,0.5027,0.75561,0.63975,0.66717,0.39692,1.21789,1.42569,1.32075,1.36538,0.00155148,0.00155148,0.00155148
9,4813.13,0.98955,1.53077,1.00574,1.16275,0.79643,0.66856,0.71423,0.51117,0.76539,0.64749,0.66388,0.39003,1.2409,1.49645,1.3226,1.39427,0.00153497,0.00153497,0.00153497
10,5432.65,0.98659,1.58269,1.02768,1.16424,0.797,0.66196,0.72574,0.53109,0.79684,0.62909,0.69172,0.4026,1.22094,1.43381,1.2975,1.39778,0.00151847,0.00151847,0.00151847
11,5997.78,0.99117,1.53888,0.99912,1.16379,0.73765,0.71727,0.71226,0.51688,0.72907,0.69984,0.6665,0.39741,1.19417,1.43449,1.28665,1.3356,0.00150197,0.00150197,0.00150197
12,6529.3,1.00173,1.56886,1.01364,1.17385,0.75266,0.66869,0.68726,0.47448,0.7155,0.63511,0.61881,0.34674,1.23083,1.46369,1.3085,1.37859,0.00148546,0.00148546,0.00148546
